Year,Year,Week,Away Team,Away Team,Home Team
2013,2013,1,BAL,BAL,DEN
2013,2013,1,NE,NE,BUF
2013,2013,1,CIN,CIN,CHI
2013,2013,1,MIA,MIA,CLE
2013,2013,1,ATL,ATL,NO
2013,2013,1,TB,TB,NYJ
2013,2013,1,TEN,TEN,PIT
2013,2013,1,MIN,MIN,DET
2013,2013,1,OAK,OAK,IND
2013,2013,1,SEA,SEA,CAR
2013,2013,1,KC,KC,JAX
2013,2013,1,ARI,ARI,LAR
2013,2013,1,GB,GB,SF
2013,2013,1,NYG,NYG,DAL
2013,2013,1,PHI,PHI,WAS
2013,2013,1,HOU,HOU,LAC
2013,2013,2,NYJ,NYJ,NE
2013,2013,2,LAR,LAR,ATL
2013,2013,2,CAR,CAR,BUF
2013,2013,2,MIN,MIN,CHI
2013,2013,2,WAS,WAS,GB
2013,2013,2,MIA,MIA,IND
2013,2013,2,DAL,DAL,KC
2013,2013,2,CLE,CLE,BAL
2013,2013,2,TEN,TEN,HOU
2013,2013,2,LAC,LAC,PHI
2013,2013,2,DET,DET,ARI
2013,2013,2,NO,NO,TB
2013,2013,2,JAX,JAX,OAK
2013,2013,2,DEN,DEN,NYG
2013,2013,2,SF,SF,SEA
2013,2013,2,PIT,PIT,CIN
2013,2013,3,KC,KC,PHI
2013,2013,3,GB,GB,CIN
2013,2013,3,LAR,LAR,DAL
2013,2013,3,LAC,LAC,TEN
2013,2013,3,CLE,CLE,MIN
2013,2013,3,TB,TB,NE
2013,2013,3,ARI,ARI,NO
2013,2013,3,DET,DET,WAS
2013,2013,3,NYG,NYG,CAR
2013,2013,3,HOU,HOU,BAL
2013,2013,3,ATL,ATL,MIA
2013,2013,3,BUF,BUF,NYJ
2013,2013,3,IND,IND,SF
2013,2013,3,JAX,JAX,SEA
2013,2013,3,CHI,CHI,PIT
2013,2013,3,OAK,OAK,DEN
2013,2013,4,SF,SF,LAR
2013,2013,4,BAL,BAL,BUF
2013,2013,4,CIN,CIN,CLE
2013,2013,4,CHI,CHI,DET
2013,2013,4,NYG,NYG,KC
2013,2013,4,ARI,ARI,TB
2013,2013,4,IND,IND,JAX
2013,2013,4,SEA,SEA,HOU
2013,2013,4,NYJ,NYJ,TEN
2013,2013,4,PHI,PHI,DEN
2013,2013,4,DAL,DAL,LAC
2013,2013,4,WAS,WAS,OAK
2013,2013,4,NE,NE,ATL
2013,2013,4,MIA,MIA,NO
2013,2013,5,BUF,BUF,CLE
2013,2013,5,NO,NO,CHI
2013,2013,5,NE,NE,CIN
2013,2013,5,JAX,JAX,LAR
2013,2013,5,BAL,BAL,MIA
2013,2013,5,PHI,PHI,NYG
2013,2013,5,DET,DET,GB
2013,2013,5,KC,KC,TEN
