Year,Year,Week,Home Team,Home Team
2013,2013,1,DEN,DEN
2013,2013,1,BUF,BUF
2013,2013,1,CHI,CHI
2013,2013,1,CLE,CLE
2013,2013,1,NO,NO
2013,2013,1,NYJ,NYJ
2013,2013,1,PIT,PIT
2013,2013,1,DET,DET
2013,2013,1,IND,IND
2013,2013,1,CAR,CAR
2013,2013,1,JAX,JAX
2013,2013,1,LAR,LAR
2013,2013,1,SF,SF
2013,2013,1,DAL,DAL
2013,2013,1,WAS,WAS
2013,2013,1,LAC,LAC
2013,2013,2,NE,NE
2013,2013,2,ATL,ATL
2013,2013,2,BUF,BUF
2013,2013,2,CHI,CHI
2013,2013,2,GB,GB
2013,2013,2,IND,IND
2013,2013,2,KC,KC
2013,2013,2,BAL,BAL
2013,2013,2,HOU,HOU
2013,2013,2,PHI,PHI
2013,2013,2,ARI,ARI
2013,2013,2,TB,TB
2013,2013,2,OAK,OAK
2013,2013,2,NYG,NYG
2013,2013,2,SEA,SEA
2013,2013,2,CIN,CIN
2013,2013,3,PHI,PHI
2013,2013,3,CIN,CIN
2013,2013,3,DAL,DAL
2013,2013,3,TEN,TEN
2013,2013,3,MIN,MIN
2013,2013,3,NE,NE
2013,2013,3,NO,NO
2013,2013,3,WAS,WAS
2013,2013,3,CAR,CAR
2013,2013,3,BAL,BAL
2013,2013,3,MIA,MIA
2013,2013,3,NYJ,NYJ
2013,2013,3,SF,SF
2013,2013,3,SEA,SEA
2013,2013,3,PIT,PIT
2013,2013,3,DEN,DEN
2013,2013,4,LAR,LAR
2013,2013,4,BUF,BUF
2013,2013,4,CLE,CLE
2013,2013,4,DET,DET
2013,2013,4,KC,KC
2013,2013,4,TB,TB
2013,2013,4,JAX,JAX
2013,2013,4,HOU,HOU
2013,2013,4,TEN,TEN
2013,2013,4,DEN,DEN
2013,2013,4,LAC,LAC
2013,2013,4,OAK,OAK
2013,2013,4,ATL,ATL
2013,2013,4,NO,NO
2013,2013,5,CLE,CLE
2013,2013,5,CHI,CHI
2013,2013,5,CIN,CIN
2013,2013,5,LAR,LAR
2013,2013,5,MIA,MIA
2013,2013,5,NYG,NYG
2013,2013,5,GB,GB
2013,2013,5,TEN,TEN
2013,2013,5,IND,IND
2013,2013,5,ARI,ARI
2013,2013,5,DAL,DAL
2013,2013,5,SF,SF
2013,2013,5,OAK,OAK
2013,2013,5,ATL,ATL
2013,2013,6,CHI,CHI
2013,2013,6,BUF,BUF
2013,2013,6,CLE,CLE
2013,2013,6,KC,KC
2013,2013,6,MIN,MIN
2013,2013,6,TB,TB
2013,2013,6,BAL,BAL
2013,2013,6,HOU,HOU
2013,2013,6,NYJ,NYJ
2013,2013,6,DEN,DEN
2013,2013,6,SEA,SEA
2013,2013,6,NE,NE
2013,2013,6,SF,SF
2013,2013,6,DAL,DAL
2013,2013,6,LAC,LAC
2013,2013,7,ARI,ARI
2013,2013,7,ATL,ATL
2013,2013,7,DET,DET
2013,2013,7,KC,KC
2013,2013,7,MIA,MIA
